"Category","Overheads"
"Salary Expense",4.18
"Interest Expense ",0.01
"Marketing Expense",3.2
"Rental Expense",1.2
"Overflow Expense - Retail",0.05
"Overflow Expense - Warehouse",0.28
"Penalty Expense",0.35
"Depreciation Expense",1.32
"Maintenance Expense",0.71
"Shipping Expense",87.51
"Human Resource Expense",1.18
